uid,row_number,lat,lon,ele
118009,4,59.261928,31.397638,
118009,5,59.491417,30.870316,
118009,6,59.598019,30.772769,
118009,7,59.91688,30.318103,
118009,8,59.957049,30.404148,
118009,9,59.983056,30.257292,
11801,1,-20.0340322,-63.5238298,881.67
11801,10,-19.3184901,-63.4821679,910.51
11801,11,-19.2291766,-63.4801845,802.36
11801,12,-19.1449915,-63.5014531,739.87
11801,13,-19.0697215,-63.48654,709.11
11801,14,-19.023175,-63.413362,611.06
11801,15,-18.9553708,-63.3956051,494.26
11801,16,-18.8868775,-63.3770951,434.65
11801,17,-18.8158141,-63.3376119,449.07
11801,18,-18.7420315,-63.2866251,464.93
11801,19,-18.6618714,-63.2389351,480.32
11801,2,-19.9680067,-63.5246209,826.39
11801,20,-18.5721525,-63.2236077,475.03
11801,21,-18.4831603,-63.2157065,501.46
11801,22,-18.3919116,-63.2035271,510.6
11801,23,-18.2975582,-63.1908788,519.25
11801,24,-18.2106798,-63.1822502,484.64
11801,25,-18.1166584,-63.1921887,491.37
11801,26,-18.0267297,-63.1908353,469.26
11801,27,-17.9640009,-63.2183909,475.03
11801,28,-17.8982654,-63.2581745,467.82
11801,29,-17.8293722,-63.2280296,423.6
11801,3,-19.8850522,-63.5358439,910.03
11801,30,-17.8107837,-63.2082382,415.91
11801,4,-19.7967373,-63.5594335,1015.77
11801,5,-19.7083993,-63.5644307,1060.95
11801,6,-19.6298736,-63.5552941,968.18
11801,7,-19.5416177,-63.5586399,869.17
11801,8,-19.4751633,-63.5303907,876.86
11801,9,-19.3863585,-63.5278308,992.7
118011,1,57.762337,33.950157,
118011,10,58.318155,32.342162,
118011,11,58.368366,32.060337,
118011,12,58.403728,31.860802,
118011,13,58.479495,31.7115,
118011,14,58.543718,31.608868,
118011,15,58.621523,31.502073,
118011,16,58.709478,31.400771,
118011,17,58.823419,31.475294,
118011,18,58.932381,31.518402,
118011,19,59.031751,31.580973,
118011,2,57.807806,33.851495,
118011,20,59.122088,31.637106,
118011,21,59.160862,31.584148,
118011,22,59.29229,31.340647,
118011,23,59.407647,31.122894,
118011,24,59.48616,30.899906,
118011,25,59.506931,30.830297,
118011,3,57.927303,33.576772,
118011,4,57.940714,33.421161,
118011,5,58.004057,33.129058,
118011,6,58.033025,32.972395,
118011,7,58.072443,32.905104,
118011,8,58.17574,32.699797,
118011,9,58.273823,32.464256,
118012,1,60.089164,30.364602,
118012,10,60.679936,30.005593,
118012,11,60.647213,30.162084,
118012,12,60.545096,30.196502,
118012,13,60.567563,30.377433,
118012,14,60.547671,30.522745,
118012,15,60.561833,30.411229,
118012,16,60.545547,30.233045,
118012,17,60.569065,30.185559,
118012,18,60.655088,30.155132,
118012,19,60.68131,30.002439,
118012,2,60.110514,30.387368,
118012,20,60.71768,30.057499,
118012,21,60.695064,30.220363,
118012,22,60.731971,30.075803,
118012,23,60.80379,30.124705,
118012,24,60.855331,30.283148,
118012,25,60.846899,30.224569,
118012,26,60.802953,30.124962,
118012,27,60.725148,30.104663,
118012,28,60.704591,30.156999,
118012,29,60.71208,29.975917,
118012,3,60.179865,30.379772,
118012,30,60.663242,30.068207,
118012,31,60.601079,30.192854,
118012,32,60.544324,30.218647,
118012,33,60.601144,30.192897,
118012,34,60.663092,30.069709,
118012,35,60.715857,30.006366,
118012,36,60.736606,30.0946,
118012,4,60.24338,30.445068,
118012,5,60.349102,30.383248,
118012,6,60.377491,30.274436,
118012,7,60.450919,30.2474,
118012,8,60.568421,30.186117,
118012,9,60.65496,30.15569,
118013,1,60.241063,30.252872,
118013,10,59.511416,30.818281,
118013,11,59.489894,30.970116,
118013,12,59.40048,31.136048,
118013,13,59.251392,31.416993,
118013,14,59.068251,31.614811,
118013,15,58.997076,31.549473,
118013,16,58.881848,31.488018,
118013,17,58.78237,31.450725,
118013,18,58.681691,31.383154,
118013,19,58.618863,31.507051,
118013,2,60.162892,30.313103,
118013,20,58.538268,31.619811,
118013,21,58.475311,31.716993,
118013,22,58.385124,31.981802,
118013,23,58.358238,32.229037,
118013,24,58.272064,32.471445,
118013,25,58.224556,32.600963,
118013,26,58.142717,32.765865,
118013,27,58.018198,33.048334,
118013,28,57.989445,33.200147,
118013,29,57.954683,33.257267,
118013,3,60.1053,30.2474,
118013,30,57.904365,33.63739,
118013,31,57.882628,33.685412,
118013,32,57.824392,33.81448,
118013,4,60.024598,30.319004,
118013,5,59.929004,30.338337,
118013,6,59.831393,30.322201,
118013,7,59.830019,30.345676,
118013,8,59.725757,30.538881,
118013,9,59.589822,30.780945,
118014,1,57.816947,33.831089,
118014,10,57.191219,34.943626,
118014,11,57.021253,35.045013,
118014,12,56.957502,35.368423,
118014,13,56.923921,35.53618,
118014,14,56.919887,35.552595,
118014,15,56.83352,35.800238,
118014,16,56.782408,35.959432,
118014,17,56.746531,36.221452,
118014,18,56.680634,36.388071,
118014,19,56.590512,36.487741,
118014,2,57.759933,33.956208,
118014,20,56.474319,36.577971,
118014,21,56.365614,36.688457,
118014,22,56.326196,36.753001,
118014,23,56.272573,36.84027,
118014,24,56.127563,37.072184,
118014,25,56.02978,37.168164,
118014,26,55.910218,37.40731,
118014,27,55.834751,37.395809,
118014,28,55.805697,37.459774,
118014,29,55.786321,37.461233,
118014,3,57.707663,34.196963,
118014,4,57.686269,34.298608,
118014,5,57.6143,34.479861,
118014,6,57.528448,34.616911,
118014,7,57.443218,34.739006,
118014,8,57.354748,34.852517,
118014,9,57.315009,34.874897,
118015,1,48.743757,14.32695,516.64
118015,10,48.578493,14.15561,796.75
